========================================================================================================
x441 · 목적함수 설정 격리 · 문항 48 (유일 argmax) · **상수 답 상한 0.29** (최빈 정답 Business Bronze Rewards Card)
판정: A≈C 면 패턴 미사용 · D≫A 면 목적함수 설정 결손 · 둘 다 낮으면 경계 · 차 8/48 이상만 읽음
========================================================================================================
  personal travel             $500    정답 Silver Rewards Card            | A=O C=O D=O
  personal travel             $2000   정답 Silver Rewards Card            | A=O C=O D=O
  personal travel             $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal travel             $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  personal software           $500    정답 Silver Rewards Card            | A=O C=O D=O
  personal software           $2000   정답 Silver Rewards Card            | A=O C=O D=O
  personal software           $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal software           $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  personal operations         $500    정답 Gold Rewards Card              | A=X C=X D=X
  personal operations         $2000   정답 Gold Rewards Card              | A=X C=X D=X
  personal operations         $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal operations         $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  personal green              $500    정답 Gold Rewards Card              | A=X C=X D=X
  personal green              $2000   정답 Gold Rewards Card              | A=X C=X D=X
  personal green              $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal green              $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  personal media_advertising  $500    정답 Gold Rewards Card              | A=X C=X D=X
  personal media_advertising  $2000   정답 Gold Rewards Card              | A=X C=X D=X
  personal media_advertising  $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal media_advertising  $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  personal other              $500    정답 Gold Rewards Card              | A=X C=X D=X
  personal other              $2000   정답 Gold Rewards Card              | A=X C=X D=X
  personal other              $8000   정답 Platinum Rewards Card          | A=X C=X D=X
  personal other              $40000  정답 Platinum Rewards Card          | A=X C=X D=X
  business travel             $500    정답 Business Bronze Rewards Card   | A=X C=X D=X
  business travel             $2000   정답 Business Silver Rewards Card   | A=O C=X D=O
  business travel             $8000   정답 Business Silver Rewards Card   | A=O C=X D=O
  business travel             $40000  정답 Business Silver Rewards Card   | A=O C=X D=O
  business software           $500    정답 Business Bronze Rewards Card   | A=X C=X D=X
  business software           $2000   정답 Business Silver Rewards Card   | A=O C=X D=O
  business software           $8000   정답 Business Silver Rewards Card   | A=O C=X D=O
  business software           $40000  정답 Business Silver Rewards Card   | A=O C=X D=O
  business operations         $500    정답 Business Bronze Rewards Card   | A=X C=X D=O
  business operations         $2000   정답 Business Bronze Rewards Card   | A=X C=X D=O
  business operations         $8000   정답 Business Bronze Rewards Card   | A=X C=X D=X
  business operations         $40000  정답 Business Gold Rewards Card     | A=O C=X D=O
  business green              $500    정답 Business Bronze Rewards Card   | A=X C=X D=X
  business green              $2000   정답 Business Bronze Rewards Card   | A=X C=X D=X
  business green              $8000   정답 Green Rewards Card             | A=O C=X D=O
  business green              $40000  정답 Green Rewards Card             | A=O C=X D=O
  business media_advertising  $500    정답 Business Bronze Rewards Card   | A=X C=X D=X
  business media_advertising  $2000   정답 Business Bronze Rewards Card   | A=X C=X D=X
  business media_advertising  $8000   정답 Business Bronze Rewards Card   | A=X C=X D=X
  business media_advertising  $40000  정답 Business Platinum Rewards Card | A=O C=O D=O
  business other              $500    정답 Business Bronze Rewards Card   | A=O C=X D=O
  business other              $2000   정답 Business Bronze Rewards Card   | A=O C=X D=O
  business other              $8000   정답 Business Bronze Rewards Card   | A=O C=X D=O
  business other              $40000  정답 Business Bronze Rewards Card   | A=O C=X D=O

  ★정답률  A_task 18/48 (0.38) · C_nopat 5/48 (0.10) · D_hint 20/48 (0.42)
     A_task   최빈 답 Silver Rewards Card            21/48 (0.44) — 상수성
     C_nopat  최빈 답 Silver Rewards Card            24/48 (0.50) — 상수성
     D_hint   최빈 답 Silver Rewards Card            24/48 (0.50) — 상수성
→ /home/woori/workspace_common/boltzmann-attention-pi/reports/facet_rft_2026/x441_obj1.json
