========================================================================================================
x441 · 목적함수 설정 격리 · 문항 48 (유일 argmax) · **상수 답 상한 0.29** (최빈 정답 Business Bronze Rewards Card)
판정: A≈C 면 패턴 미사용 · D≫A 면 목적함수 설정 결손 · 둘 다 낮으면 경계 · 차 8/48 이상만 읽음
========================================================================================================
  personal travel             $500    정답 Silver Rewards Card            | E=O
  personal travel             $2000   정답 Silver Rewards Card            | E=O
  personal travel             $8000   정답 Platinum Rewards Card          | E=O
  personal travel             $40000  정답 Platinum Rewards Card          | E=O
  personal software           $500    정답 Silver Rewards Card            | E=O
  personal software           $2000   정답 Silver Rewards Card            | E=O
  personal software           $8000   정답 Platinum Rewards Card          | E=O
  personal software           $40000  정답 Platinum Rewards Card          | E=O
  personal operations         $500    정답 Gold Rewards Card              | E=O
  personal operations         $2000   정답 Gold Rewards Card              | E=O
  personal operations         $8000   정답 Platinum Rewards Card          | E=O
  personal operations         $40000  정답 Platinum Rewards Card          | E=O
  personal green              $500    정답 Gold Rewards Card              | E=O
  personal green              $2000   정답 Gold Rewards Card              | E=O
  personal green              $8000   정답 Platinum Rewards Card          | E=O
  personal green              $40000  정답 Platinum Rewards Card          | E=O
  personal media_advertising  $500    정답 Gold Rewards Card              | E=X
  personal media_advertising  $2000   정답 Gold Rewards Card              | E=O
  personal media_advertising  $8000   정답 Platinum Rewards Card          | E=O
  personal media_advertising  $40000  정답 Platinum Rewards Card          | E=O
  personal other              $500    정답 Gold Rewards Card              | E=O
  personal other              $2000   정답 Gold Rewards Card              | E=O
  personal other              $8000   정답 Platinum Rewards Card          | E=O
  personal other              $40000  정답 Platinum Rewards Card          | E=O
  business travel             $500    정답 Business Bronze Rewards Card   | E=O
  business travel             $2000   정답 Business Silver Rewards Card   | E=O
  business travel             $8000   정답 Business Silver Rewards Card   | E=O
  business travel             $40000  정답 Business Silver Rewards Card   | E=O
  business software           $500    정답 Business Bronze Rewards Card   | E=O
  business software           $2000   정답 Business Silver Rewards Card   | E=O
  business software           $8000   정답 Business Silver Rewards Card   | E=O
  business software           $40000  정답 Business Silver Rewards Card   | E=O
  business operations         $500    정답 Business Bronze Rewards Card   | E=O
  business operations         $2000   정답 Business Bronze Rewards Card   | E=O
  business operations         $8000   정답 Business Bronze Rewards Card   | E=O
  business operations         $40000  정답 Business Gold Rewards Card     | E=O
  business green              $500    정답 Business Bronze Rewards Card   | E=O
  business green              $2000   정답 Business Bronze Rewards Card   | E=O
  business green              $8000   정답 Green Rewards Card             | E=O
  business green              $40000  정답 Green Rewards Card             | E=O
  business media_advertising  $500    정답 Business Bronze Rewards Card   | E=O
  business media_advertising  $2000   정답 Business Bronze Rewards Card   | E=O
  business media_advertising  $8000   정답 Business Bronze Rewards Card   | E=O
  business media_advertising  $40000  정답 Business Platinum Rewards Card | E=O
  business other              $500    정답 Business Bronze Rewards Card   | E=O
  business other              $2000   정답 Business Bronze Rewards Card   | E=O
  business other              $8000   정답 Business Bronze Rewards Card   | E=O
  business other              $40000  정답 Business Bronze Rewards Card   | E=O

  ★정답률  E_values 47/48 (0.98)
     E_values 최빈 답 Business Bronze Rewards Card   14/48 (0.29) — 상수성
→ /home/woori/workspace_common/boltzmann-attention-pi/reports/facet_rft_2026/x441_values1.json
